Date Created,Grades,Year,Baltimore City,Allegany County,Anne Arundel County,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,St. Mary's County,Somerset County,Talbot County,Washington County,Wicomico County,Worcester County,Maryland
01/27/2021,Grades Pre-K,2010,4874,506,1670,3613,385,343,271,590,858,268,984,122,782,1003,148,3503,6424,288,807,214,246,538,572,368,29377
01/27/2021,Grades K-5,2010,37956,3854,34305,46364,6891,2458,11700,6860,10686,2040,17584,1797,16776,21851,930,64353,54333,3366,7527,1336,1936,10018,6810,2740,374471
01/27/2021,Grades 6-8,2010,16659,1952,16782,22574,3847,1126,6138,3592,6121,979,8894,921,8669,11484,466,30860,26577,1681,3760,567,907,5059,2998,1455,184068
01/27/2021,Grades 9-12,2010,24311,2710,22724,31609,5672,1590,9225,4895,9185,1360,12726,1372,12167,16656,639,45307,39337,2446,5177,803,1415,6591,4002,2136,264055
01/27/2021,Grades Pre-K,2011,4852,499,1892,3631,386,324,296,590,891,256,1063,131,779,1066,122,3627,5495,252,701,201,268,485,654,389,28850
01/27/2021,Grades K-5,2011,38668,3809,34867,47757,6846,2499,11574,6878,10729,2081,17727,1757,16766,22281,947,66324,54948,3405,7831,1371,1986,10048,6806,2748,380653
01/27/2021,Grades 6-8,2011,16986,1945,16848,22772,3796,1145,6158,3582,5999,943,8943,935,8643,11541,445,31276,26118,1692,3697,566,935,5037,3046,1411,184459
01/27/2021,Grades 9-12,2011,23706,2660,22696,30993,5525,1577,9054,4777,9159,1367,12680,1254,12036,16667,648,45232,37272,2412,5220,744,1358,6670,4014,2095,259816
01/27/2021,Grades Pre-K,2012,4890,520,2182,3658,400,365,363,627,911,270,1067,86,760,1084,119,3779,5602,249,741,214,293,489,611,391,29671
01/27/2021,Grades K-5,2012,39490,3822,36027,49464,6733,2516,11370,6850,10938,2155,17867,1787,16834,22768,946,68322,56375,3461,7955,1384,1993,10185,6911,2791,388944
01/27/2021,Grades 6-8,2012,16995,1923,16911,22771,3765,1182,6055,3485,5823,997,8914,915,8384,11501,444,31529,25822,1727,3709,614,931,5011,3031,1463,183902
01/27/2021,Grades 9-12,2012,23372,2664,22650,31034,5425,1522,8899,4672,8972,1296,12608,1216,11890,16700,621,45150,35938,2315,5048,731,1353,6718,3936,2005,256735
01/27/2021,Grades Pre-K,2013,4763,523,2157,3667,362,310,372,720,921,253,1111,100,770,1125,126,3770,5641,244,937,217,238,510,591,383,29811
01/27/2021,Grades K-5,2013,40023,3828,36736,50828,6728,2519,11211,6862,10997,2242,18084,1720,16895,23355,946,69943,57829,3384,8034,1380,2004,10214,6925,2855,395542
01/27/2021,Grades 6-8,2013,17062,1951,17073,22956,3794,1215,6115,3548,5857,998,9018,876,8576,11909,446,32450,26492,1763,3795,614,974,5095,2974,1420,186971
01/27/2021,Grades 9-12,2013,22882,2570,22523,30740,5337,1501,8633,4694,8680,1273,12435,1190,11601,16417,599,45132,35174,2325,5075,734,1321,6676,3941,1991,253444
01/27/2021,Grades Pre-K,2014,4811,508,2080,3752,399,299,362,743,839,213,1101,148,772,1174,139,4115,5793,244,922,205,258,554,574,380,30385
01/27/2021,Grades K-5,2014,40774,3879,37346,51717,6598,2532,10966,6800,10991,2297,18098,1720,16768,23730,934,71199,59372,3437,8110,1378,2031,10044,7003,2805,400529
01/27/2021,Grades 6-8,2014,17050,1888,17380,23436,3806,1211,6039,3446,5811,1011,9068,840,8440,12296,439,33488,26916,1747,3847,626,1007,5059,2980,1473,189304
