Grade,Year,County,Count
Grades Pre-K,2010,Baltimore City,4874
Grades Pre-K,2010,Allegany County,506
Grades Pre-K,2010,Anne Arundel County,1670
Grades Pre-K,2010,Baltimore County,3613
Grades Pre-K,2010,Calvert County,385
Grades Pre-K,2010,Caroline County,343
Grades Pre-K,2010,Carroll County,271
Grades Pre-K,2010,Cecil County,590
Grades Pre-K,2010,Charles County,858
Grades Pre-K,2010,Dorchester County,268
Grades Pre-K,2010,Frederick County,984
Grades Pre-K,2010,Garrett County,122
Grades Pre-K,2010,Harford County,782
Grades Pre-K,2010,Howard County,1003
Grades Pre-K,2010,Kent County,148
Grades Pre-K,2010,Montgomery County,3503
Grades Pre-K,2010,Prince George's County,6424
Grades Pre-K,2010,Queen Anne's County,288
Grades Pre-K,2010,St. Mary's County,807
Grades Pre-K,2010,Somerset County,214
Grades Pre-K,2010,Talbot County,246
Grades Pre-K,2010,Washington County,538
Grades Pre-K,2010,Wicomico County,572
Grades Pre-K,2010,Worcester County,368
Grades Pre-K,2010,Total,29377
Grades K-5,2010,Baltimore City,37956
Grades K-5,2010,Allegany County,3854
Grades K-5,2010,Anne Arundel County,34305
Grades K-5,2010,Baltimore County,46364
Grades K-5,2010,Calvert County,6891
Grades K-5,2010,Caroline County,2458
Grades K-5,2010,Carroll County,11700
Grades K-5,2010,Cecil County,6860
Grades K-5,2010,Charles County,10686
Grades K-5,2010,Dorchester County,2040
Grades K-5,2010,Frederick County,17584
Grades K-5,2010,Garrett County,1797
Grades K-5,2010,Harford County,16776
Grades K-5,2010,Howard County,21851
Grades K-5,2010,Kent County,930
Grades K-5,2010,Montgomery County,64353
Grades K-5,2010,Prince George's County,54333
Grades K-5,2010,Queen Anne's County,3366
Grades K-5,2010,St. Mary's County,7527
Grades K-5,2010,Somerset County,1336
Grades K-5,2010,Talbot County,1936
Grades K-5,2010,Washington County,10018
Grades K-5,2010,Wicomico County,6810
Grades K-5,2010,Worcester County,2740
Grades K-5,2010,Total,374471
Grades 6-8,2010,Baltimore City,16659
Grades 6-8,2010,Allegany County,1952
Grades 6-8,2010,Anne Arundel County,16782
Grades 6-8,2010,Baltimore County,22574
Grades 6-8,2010,Calvert County,3847
Grades 6-8,2010,Caroline County,1126
Grades 6-8,2010,Carroll County,6138
Grades 6-8,2010,Cecil County,3592
Grades 6-8,2010,Charles County,6121
Grades 6-8,2010,Dorchester County,979
Grades 6-8,2010,Frederick County,8894
Grades 6-8,2010,Garrett County,921
Grades 6-8,2010,Harford County,8669
Grades 6-8,2010,Howard County,11484
Grades 6-8,2010,Kent County,466
Grades 6-8,2010,Montgomery County,30860
Grades 6-8,2010,Prince George's County,26577
Grades 6-8,2010,Queen Anne's County,1681
Grades 6-8,2010,St. Mary's County,3760
Grades 6-8,2010,Somerset County,567
Grades 6-8,2010,Talbot County,907
Grades 6-8,2010,Washington County,5059
Grades 6-8,2010,Wicomico County,2998
Grades 6-8,2010,Worcester County,1455
Grades 6-8,2010,Total,184068
Grades 9-12,2010,Baltimore City,24311
Grades 9-12,2010,Allegany County,2710
Grades 9-12,2010,Anne Arundel County,22724
Grades 9-12,2010,Baltimore County,31609
Grades 9-12,2010,Calvert County,5672
Grades 9-12,2010,Caroline County,1590
Grades 9-12,2010,Carroll County,9225
Grades 9-12,2010,Cecil County,4895
Grades 9-12,2010,Charles County,9185
Grades 9-12,2010,Dorchester County,1360
Grades 9-12,2010,Frederick County,12726
Grades 9-12,2010,Garrett County,1372
Grades 9-12,2010,Harford County,12167
Grades 9-12,2010,Howard County,16656
Grades 9-12,2010,Kent County,639
Grades 9-12,2010,Montgomery County,45307
Grades 9-12,2010,Prince George's County,39337
Grades 9-12,2010,Queen Anne's County,2446
Grades 9-12,2010,St. Mary's County,5177
Grades 9-12,2010,Somerset County,803
Grades 9-12,2010,Talbot County,1415
Grades 9-12,2010,Washington County,6591
Grades 9-12,2010,Wicomico County,4002
Grades 9-12,2010,Worcester County,2136
Grades 9-12,2010,Total,264055
Grades Pre-K,2011,Baltimore City,4852
Grades Pre-K,2011,Allegany County,499
Grades Pre-K,2011,Anne Arundel County,1892
Grades Pre-K,2011,Baltimore County,3631
Grades Pre-K,2011,Calvert County,386
Grades Pre-K,2011,Caroline County,324
Grades Pre-K,2011,Carroll County,296
Grades Pre-K,2011,Cecil County,590
Grades Pre-K,2011,Charles County,891
Grades Pre-K,2011,Dorchester County,256
Grades Pre-K,2011,Frederick County,1063
Grades Pre-K,2011,Garrett County,131
Grades Pre-K,2011,Harford County,779
Grades Pre-K,2011,Howard County,1066
Grades Pre-K,2011,Kent County,122
Grades Pre-K,2011,Montgomery County,3627
Grades Pre-K,2011,Prince George's County,5495
Grades Pre-K,2011,Queen Anne's County,252
Grades Pre-K,2011,St. Mary's County,701
Grades Pre-K,2011,Somerset County,201
Grades Pre-K,2011,Talbot County,268
Grades Pre-K,2011,Washington County,485
Grades Pre-K,2011,Wicomico County,654
Grades Pre-K,2011,Worcester County,389
Grades Pre-K,2011,Total,28850
Grades K-5,2011,Baltimore City,38668
Grades K-5,2011,Allegany County,3809
Grades K-5,2011,Anne Arundel County,34867
Grades K-5,2011,Baltimore County,47757
Grades K-5,2011,Calvert County,6846
Grades K-5,2011,Caroline County,2499
Grades K-5,2011,Carroll County,11574
Grades K-5,2011,Cecil County,6878
Grades K-5,2011,Charles County,10729
Grades K-5,2011,Dorchester County,2081
Grades K-5,2011,Frederick County,17727
Grades K-5,2011,Garrett County,1757
Grades K-5,2011,Harford County,16766
Grades K-5,2011,Howard County,22281
Grades K-5,2011,Kent County,947
Grades K-5,2011,Montgomery County,66324
Grades K-5,2011,Prince George's County,54948
Grades K-5,2011,Queen Anne's County,3405
Grades K-5,2011,St. Mary's County,7831
Grades K-5,2011,Somerset County,1371
Grades K-5,2011,Talbot County,1986
Grades K-5,2011,Washington County,10048
Grades K-5,2011,Wicomico County,6806
Grades K-5,2011,Worcester County,2748
Grades K-5,2011,Total,380653
Grades 6-8,2011,Baltimore City,16986
Grades 6-8,2011,Allegany County,1945
Grades 6-8,2011,Anne Arundel County,16848
Grades 6-8,2011,Baltimore County,22772
Grades 6-8,2011,Calvert County,3796
Grades 6-8,2011,Caroline County,1145
Grades 6-8,2011,Carroll County,6158
Grades 6-8,2011,Cecil County,3582
Grades 6-8,2011,Charles County,5999
